event,source_module,oled,neopixel,animate_servo,piservo,why,reference
wakeword.detected,wakeword,animation/listening,TWINKLE+jewel+BREATHE base,head pan/tilt,—,Dikkat çekici LED + dinleme yüzü; kullanıcı uyandı,modules/autonomy/config/config.yml scenes.wakeword_reaction + modules/oled_faces/config/config.yml
speech.listen.start,speech,animation/listening,—,—,—,Aktif dinleme oturumu; OLED listening animasyonu,modules/oled_faces/config/config.yml
speech.listen.end,speech,bitmap/normal,—,—,—,Dinleme bitti; nötr yüze dön,modules/oled_faces/config/config.yml
speech.start,interactions,animation/thinking,PULSE,—,—,Konuşma başladı; düşünüyor yüzü + nabız LED,modules/interactions/config/config.yml + modules/oled_faces/config/config.yml
speech.end,interactions,bitmap/normal,COMET,—,—,Konuşma bitti; kuyruk efekti + nötr yüz,modules/interactions/config/config.yml
agent.thinking,agent_core,animation/thinking,—,—,—,LLM düşünüyor; thinking activity,modules/oled_faces/config/config.yml
agent.editing,agent_core,animation/editing,—,—,—,Kod/düzenleme modu; editing activity (Pip),modules/oled_faces/config/config.yml
agent.processing,agent_core,animation/processing,—,—,—,Arka plan işlem; processing activity,modules/oled_faces/config/config.yml
agent.connecting,agent_core,animation/connecting,—,—,—,Bağlantı bekleniyor; connecting activity,modules/oled_faces/config/config.yml
autonomy.blink,autonomy,gesture/blink,RANDOM_BLINK,blink.yml,—,Doğal göz kırpma; LED blink + servo blink anim,modules/interactions/config/config.yml
autonomy.look_around,autonomy,animation/scanning,COMET,look_around.yml,—,Çevreyi tarama; scanning yüzü + comet LED,modules/autonomy/config/config.yml
autonomy.stretch,autonomy,gesture/look_up,WAVE,stretch.yml,—,Uyanma/esneme; yukarı bakış + wave LED,modules/interactions/config/config.yml
autonomy.bored,autonomy,bitmap/bored,PULSE,—,—,Sıkıntı; düşük enerji yüz + yavaş pulse,modules/interactions/config/config.yml
autonomy.monologue,autonomy,animation/thinking,TWINKLE,—,—,Kendi kendine konuşma; thinking + twinkle,modules/interactions/config/config.yml
autonomy.excited,autonomy,gesture/excited,RAINBOW_CYCLE,—,—,Heyecan; coşkulu jest + gökkuşağı LED,modules/interactions/config/config.yml
